"","parameter","index","simulation_value","IQR_min","IQR50_lower","IQR50_upper","mean","median","sd","n_series","n_observations","mean_IQR","mean_sd","model"
"875","rho","20",2.47773811063165,0.49,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"876","alpha","1",2.10412503446726,0.48,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"877","alpha","2",1.3663343799848,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"878","alpha","3",0.398028652912974,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"879","alpha","4",2.32458709269986,0.25,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"880","alpha","5",2.59142664236557,0.81,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"881","alpha","6",3.05393785199568,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"882","alpha","7",1.27398766845014,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"883","alpha","8",2.18816632818824,0.22,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"884","alpha","9",1.16892152573555,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"885","alpha","10",1.50570962758892,1,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
"886","alpha","11",2.40938897488449,0.48,2.09492717265366,2.42179526391603,2.26855975781858,2.24914849413979,0.242366576167734,20,10,0.7835,0.242366576167734,"pooled"
