"","parameter","index","simulation_value","IQR","n_series","n_observations","mean_IQR","model"
"667","mu","7",0.224159731490022,0.86,10,15,0.649,"non_pooled"
"668","mu","8",0.432338180633676,0.95,10,15,0.649,"non_pooled"
"669","mu","9",0.253267756589261,0.85,10,15,0.649,"non_pooled"
"670","mu","10",-0.0249741014879859,0.68,10,15,0.649,"non_pooled"
"671","lambda","1",0.549139857824836,0.11,10,15,0.265,"non_pooled"
"672","lambda","2",0.550758858477596,0.2,10,15,0.265,"non_pooled"
"673","lambda","3",0.513504274819187,0.07,10,15,0.265,"non_pooled"
"674","lambda","4",0.608212477027756,0.16,10,15,0.265,"non_pooled"
"675","lambda","5",0.545129853948938,0.59,10,15,0.265,"non_pooled"
"676","lambda","6",0.797110067148785,0.1,10,15,0.265,"non_pooled"
"677","lambda","7",0.457942078083968,0.74,10,15,0.265,"non_pooled"
"678","lambda","8",0.521268745656858,0.22,10,15,0.265,"non_pooled"
"679","lambda","9",0.724749743959567,0.02,10,15,0.265,"non_pooled"
"680","lambda","10",0.602752351615199,0.44,10,15,0.265,"non_pooled"
"681","sigma","1",0.0369543424169277,0.81,10,15,0.635,"non_pooled"
"682","sigma","2",0.106101557019606,0.19,10,15,0.635,"non_pooled"
"683","sigma","3",0.0439930304367752,0.91,10,15,0.635,"non_pooled"
"684","sigma","4",0.104049900251321,0.96,10,15,0.635,"non_pooled"
"685","sigma","5",0.235866973404055,0.37,10,15,0.635,"non_pooled"
"686","sigma","6",0.172692344002828,0.85,10,15,0.635,"non_pooled"
"687","sigma","7",-0.0450941941711299,1,10,15,0.635,"non_pooled"
"688","sigma","8",0.11417719525417,0.01,10,15,0.635,"non_pooled"
"689","sigma","9",0.175023897689573,0.99,10,15,0.635,"non_pooled"
"690","sigma","10",0.173506789663187,0.26,10,15,0.635,"non_pooled"
"691","mu","1",-0.0954481224146754,0.71,10,15,0.575,"partially"
"692","mu","2",0.110297957051758,0.93,10,15,0.575,"partially"
"693","mu","3",-0.337764866147167,0.21,10,15,0.575,"partially"
"694","mu","4",-0.0249264891121661,0.41,10,15,0.575,"partially"
"695","mu","5",0.335437002884611,0.35,10,15,0.575,"partially"
"696","mu","6",0.549505886127884,0.09,10,15,0.575,"partially"
"697","mu","7",0.224159731490022,0.8,10,15,0.575,"partially"
"698","mu","8",0.432338180633676,0.95,10,15,0.575,"partially"
"699","mu","9",0.253267756589261,0.69,10,15,0.575,"partially"
"700","mu","10",-0.0249741014879859,0.61,10,15,0.575,"partially"
"701","lambda","1",0.549139857824836,0.35,10,15,0.424,"partially"
"702","lambda","2",0.550758858477596,0.28,10,15,0.424,"partially"
"703","lambda","3",0.513504274819187,0.25,10,15,0.424,"partially"
"704","lambda","4",0.608212477027756,0.5,10,15,0.424,"partially"
"705","lambda","5",0.545129853948938,0.13,10,15,0.424,"partially"
"706","lambda","6",0.797110067148785,0.74,10,15,0.424,"partially"
"707","lambda","7",0.457942078083968,0.3,10,15,0.424,"partially"
"708","lambda","8",0.521268745656858,0.27,10,15,0.424,"partially"
"709","lambda","9",0.724749743959567,0.7,10,15,0.424,"partially"
"710","lambda","10",0.602752351615199,0.72,10,15,0.424,"partially"
"711","sigma","1",0.0369543424169277,0.79,10,15,0.666,"partially"
"712","sigma","2",0.106101557019606,0.28,10,15,0.666,"partially"
"713","sigma","3",0.0439930304367752,0.94,10,15,0.666,"partially"
"714","sigma","4",0.104049900251321,0.86,10,15,0.666,"partially"
"715","sigma","5",0.235866973404055,0.88,10,15,0.666,"partially"
"716","sigma","6",0.172692344002828,0.93,10,15,0.666,"partially"
"717","sigma","7",-0.0450941941711299,1,10,15,0.666,"partially"
"718","sigma","8",0.11417719525417,0.15,10,15,0.666,"partially"
"719","sigma","9",0.175023897689573,0.49,10,15,0.666,"partially"
"720","sigma","10",0.173506789663187,0.34,10,15,0.666,"partially"
"721","mu","1",-0.0954481224146754,1,10,20,0.968,"pooled"
"722","mu","2",0.110297957051758,0.76,10,20,0.968,"pooled"
"723","mu","3",-0.337764866147167,1,10,20,0.968,"pooled"
"724","mu","4",-0.0249264891121661,0.96,10,20,0.968,"pooled"
"725","mu","5",0.335437002884611,1,10,20,0.968,"pooled"
"726","mu","6",0.549505886127884,1,10,20,0.968,"pooled"
"727","mu","7",0.224159731490022,1,10,20,0.968,"pooled"
"728","mu","8",0.432338180633676,1,10,20,0.968,"pooled"
"729","mu","9",0.253267756589261,1,10,20,0.968,"pooled"
